VENDOR ID,SKU,PRODUCT NAME,PRODUCT CATEGORY,SHORT DESCRIPTION,LONG DESCRIPTION,COST,PRICE,CURRENCY,BUY BOX ITEM PRICE,BUY BOX SHIPPING PRICE,PUBLISH STATUS,LIFECYCLE STATUS,AVAILABILITY STATUS,SHIP METHODS,WPID,ITEM ID,WM#,GTIN,UPC,PRIMARY IMAGE URL,SHELF NAME,PRIMARY CAT PATH,OFFER START DATE,OFFER END DATE,ITEM CREATION DATE,ITEM LAST UPDATED,ITEM PAGE URL,REVIEWS COUNT,AVERAGE RATING
34478,"=""9503-DTSR-21""",Giant 4-ft Donald Trump Pool Float Inflatable Swimming Ring for Pool Party,Sport & Recreation Other,"Makes your pool great again with this Donal Trump Pool Float! It sure brings you a lot of attention and compliments! Measures 4-ft Outer Dia., 15"" Innder Dia. Made from strong durable extra-thick vinyl. Skin safe anti-UV long-lasting ink printing.","<ul><li>Makes your pool great again with this Donal Trump Pool Float!</li><li>It sure brings you a lot of attention and compliments!</li><li>Measures 4-ft Outer Dia., 15"" Inner Dia.</li><li>Made from strong durable extra-thick vinyl</li><li>Skin safe anti-UV long-lasting ink printing.</li></ul>",16.0,18.99,USD,18.99,5.99,PUBLISHED,ACTIVE,NOT_AVAILABLE,"STANDARD,EXPEDITED,RUSH","=""51ZOGYNKXY2G""","=""948684169""","=""576278682""","=""00680666477912""","=""680666477912""",https://i5.walmartimages.com/asr/f8b78351-df3c-4b8e-a253-8c5554e2e696_1.42de60254496b84da2e15c06c96febdd.jpeg,UNNAV,"[""UNNAV""]",07/10/2019,12/31/2049,07/10/2019,06/09/2020,http://www.walmart.com/ip/Giant-4-ft-Donald-Trump-Pool-Float-Inflatable-Swimming-Ring-for-Pool-Party/948684169,5,4.4
34478,"=""LWOD-FGFI-4P""",4 Person Flamingo Floating Island River Float for Adults on Water with Cooler & Beverage Holder (Build-in),Sport & Recreation Other,New Design: The latest flamingo river float design bring your friends and family lots of fun and compliments!<br> Refreshments Holder/Storage: It contains 4 build-in beverage and a ice bucket holder <br> Seating: Accommodates up to 4 adults. Spacious for a family of 2 adults and 2 children.<br> Giant Size: Over 10 ft when fully inflated with seating space of 8\' by 6\'. Floating capacity over 600 lbs.<br> Fast Inflation/Deflation: Takes around 10 minutes to fully inflate this giant flamingo with an electric pump. Takes as fast as 3 minutes to deflate with the aid of a vacuum pump.,<ul><li>Accommodates up to 4 adults.</li><li>Over 10 ft when fully inflated</li><li>Fast Inflation/Deflation</li><li>Seating space 8\' by 6\'</li><li>Floating capacity over 600 lbs.</li></ul>,160.0,199.99,USD,199.99,0.0,UNPUBLISHED,ACTIVE,AVAILABLE,"STANDARD,EXPEDITED,RUSH,STORE_DELIVERY","=""54YZ0A8SZOEE""","=""446277244""","=""576902959""","=""00680666477905""","=""680666477905""",https://i5.walmartimages.com/asr/19025b90-0e7a-46ad-884a-769f0861cf1e_1.946d5647cec903e6237bb25f61552f50.jpeg,UNNAV,"[""UNNAV""]",08/15/2019,12/31/2049,08/15/2019,06/11/2020,http://www.walmart.com/ip/4-Person-Flamingo-Floating-Island-River-Float-for-Adults-on-Water-with-Cooler-Beverage-Holder-Build-in/446277244,18,5.0
34478,"=""39-26PR-9090""","(2 Pack) 47\'\' Inflatable Giant Donut Swimming Tube Rings, Pool Floats and Loungers for Adults and Kids",Sport & Recreation Other,"<b>Posch Giant Donut Swimming Tube Float Lounge</b> <br> Get yourself a cool summer with water pool float of this lovely donut swimming ring. It sure brings you so much fun in the pool or beach. This extra-large doughnut looks extra delicious in the pool party. Whoever looking at it can\'t resist the bite of the donuts. The topping combination of sprinkles and a beautiful girl certainly is the heat of the pool. Sit and chill in the pool or on the lake with Posch Giant Donut Swimming Tube Float Lounge. <br> The Float Tube is made of extra thick non-phthalates materials to provide you with additional security. It supports over 150 lbs of weight, large enough to fit a curvy or two slim. Enjoy your summer water fun with this Giant Donut Swimming Floatie!","<ul><li>Set of 2 for the Price of 1</li><li>4-ft Diameter Extra Large Swim Tube</li><li>Extra Thick, Durable Made, Leak Free</li><li>ASTM-F963, EN15649 Standards Approved</li></ul>",16.0,16.47,USD,3.0,0.0,PUBLISHED,ACTIVE,NOT_AVAILABLE,"STANDARD,EXPEDITED,RUSH","=""3OV3Y7ODNF3T""","=""837863122""","=""570104047""","=""00680666477943""","=""680666477943""",https://i5.walmartimages.com/asr/d63a9f22-4412-4b20-9f0d-a98adc46d518_1.cf0852a1a913c88ce6eb9aadc8292838.jpeg,Pool Floats and Loungers,"[""Home Page"",""Toys"",""Outdoor Play"",""Floats and Pool Games"",""Pool Floats and Loungers""]",06/11/2018,12/31/2049,06/11/2018,06/06/2020,http://www.walmart.com/ip/2-Pack-47-Inflatable-Giant-Donut-Swimming-Tube-Rings-Pool-Floats-and-Loungers-for-Adults-and-Kids/837863122,5,4.6
34478,"=""XL-JB93-FYSY""",Handmade Preserved Flower LED Lighted (Doe) Jewelry Box for Girls,Jewelry,"<div>Lovely Miss Deer Fairy Came out of Meadow.&nbsp;</div><div>This Jewelry Box is handmade by real flowers with love.</div><div>The meadow is make of fluffy fur (polyester) to look adorable.</div><div>Embedded a string of glowing LED light provides phenomenal atmosphere in the dark.</div><div>The design makes the jeweley box a dashing gift for girls to last many years.</div><div>Come with a necklace compartment.</div><div><br></div><div><ul><li>Handmade with preserved flowers</li><li>Features LED lighting</li><li>Drawer with open area storage</li><li>Overall dimensions: 5.5""(L) x 5.5""(W) x 7.5""(H)</li><li>Weight: 2 lbs.</li></ul></div>","<ul><li>Handmade with preserved flowers</li><li>Features LED lighting</li><li>Drawer with open area storage</li><li>Overall dimensions: 5.5""(L) x 5.5""(W) x 7.5""(H)</li><li>Weight: 2 lbs.</li></ul>",30.0,34.99,USD,34.99,0.0,PUBLISHED,ACTIVE,AVAILABLE,"STANDARD,EXPEDITED,RUSH,STORE_DELIVERY","=""1COHJHSV2ROH""","=""885311090""","=""579821676""","=""00680666478056""","=""680666478056""",https://i5.walmartimages.com/asr/7c5f0d04-5214-4458-bee2-867f2858dde6_1.ab9100f99df306e9440b990542467520.jpeg,Jewelry Boxes & Organizers,"[""Home Page"",""Jewelry"",""Jewelry Storage and Care"",""Jewelry Boxes & Organizers""]",03/06/2020,12/31/2049,03/07/2020,06/12/2020,http://www.walmart.com/ip/Handmade-Preserved-Flower-LED-Lighted-Doe-Jewelry-Box-for-Girls/885311090,0,
34478,"=""YE-YLUB-VKIW""","Large 89"" by 50"" Purple Soft and Warm Doctor Who Tardis Micro Raschel Throw Blanket for Kids and Adults",Bedding,Best gift to give anyone who is a Whovian on his/her birthday or Christmas. This soft and cozy tardis take u to the magic world with The Doctor. Two colors and patterns for choose. Worth to have one.,<ul><li>Size: 50 x 89 inch</li><li>Material: 100% polyester</li><li>Specially for Doctor Who fans</li><li>Soft and Warm throw</li><li>Machine wash safe;Do not bleach; Do not iron; Tumble dry in low temperature gentle cycle</li></ul>,29.0,29.99,USD,14.99,0.0,PUBLISHED,ACTIVE,NOT_AVAILABLE,"STANDARD,EXPEDITED,RUSH","=""66RPBEYXKA6H""","=""429325301""","=""567367737""","=""00600316299244""","=""600316299244""",https://i5.walmartimages.com/asr/3ea02687-cc34-4b84-ad43-51b792598102_1.326dc312bb7d9d8904f4717b599f5131.jpeg,Decorative Throws,"[""Home Page"",""Home"",""Decor"",""Decorative Throws""]",02/12/2018,12/31/2049,06/29/2017,06/11/2020,http://www.walmart.com/ip/Large-89-by-50-Purple-Soft-and-Warm-Doctor-Who-Tardis-Micro-Raschel-Throw-Blanket-for-Kids-and-Adults/429325301,33,4.9
34478,"=""0A-JU5N-PK7A""",Code - Pricing Error,Clothing,<ul><li>Blackout UV proof layer</li><li>Heavy wind resistant</li><li>One press auto open</li><li>Come with carrying pouch</li></ul>,"Blackout UV Proof Auto Open Close Folding Umbrella, 40\'\' (Pink)",12.0,16.3,USD,16.3,5.99,UNPUBLISHED,ACTIVE,NOT_AVAILABLE,"STANDARD,EXPEDITED,RUSH","=""5NC3PZPQNYFB""","=""626246412""","=""576783345""","=""00680666478032""","=""680666478032""",https://i5.walmartimages.com/asr/5d3b0c27-f44c-4c19-8897-2fe5d57cf65e_1.d68465255a0bbafa5c6ba1f5644db770.jpeg,Umbrellas,"[""Home Page"",""Clothing"",""Bags & Accessories"",""Luggage & Travel"",""Umbrellas""]",08/08/2019,12/31/2049,08/08/2019,05/27/2020,http://www.walmart.com/ip/Code-Pricing-Error/626246412,0,
34478,"=""SJ-1SO8-R1D4""",Large Stuffed Animal Soft Cushion Grey Elephant Plush Pillow Toy for Kids (20\'\'),Baby Toys,"Soft and adorable, this bedtime plush elephant toy animal is an excellent gift idea for all little cute baby and kids. This stuffed animal looks just as cute and cuddly in the screen as it does in the arms of your baby. With big, floppy ears, tender eyes and a curved trunk, this plush elephant is full of love.<br> <br> <iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/YVM8ONuUqPo"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<div><span style=""font-weight: 700;"">Specifications</span><span style=""font-weight: 700;""><br></span></div><ul><li>Filling: high quality non-allergic polyester cotton</li><li>Measures: 20x16x10 inch</li><li>Weight: 1.6lbs/0.75kg</li><li>Wrapped &amp; shipped in soft package</li></ul><p><span style=""font-weight: 700;"">Wash Instruction</span></p><ul><li>Machine wash safe;</li><li>Delicate cycle;</li><li>Do not bleach, iron or dry clean;</li><li>Tumble dry in low temperature</li></ul><ul> </ul>",22.5,28.42,USD,28.42,5.99,PUBLISHED,ACTIVE,NOT_AVAILABLE,"STANDARD,EXPEDITED,RUSH","=""1LBMBZYR4TGO""","=""881251020""","=""567367323""","=""00714602405902""","=""714602405902""",https://i5.walmartimages.com/asr/cb9d2e31-94b2-43b8-aeae-90bd0147b5d9_1.df7b1586794e227a53935483a62b3ad3.jpeg,Soft & Plush Toys,"[""Home Page"",""Baby"",""Baby & Toddler Toys"",""Soft & Plush Toys""]",02/12/2018,12/31/2049,06/29/2017,05/27/2020,http://www.walmart.com/ip/Large-Stuffed-Animal-Soft-Cushion-Grey-Elephant-Plush-Pillow-Toy-for-Kids-20/881251020,19,3.7
34478,"=""SQ-8860-1871""",Inflatable Reindeer Antler Ring Toss Game for Christmas Party,Toys,"<b>One Set includes:</b> <br>- 1 * Antler <br>- 4 Toss Rings (2 Green 2 Red) <br> <b>Universal Head Size (3+ Yo)</b> <br> <br>Great Christmas holiday party features inflatable reindeer antler hat ring toss game. <br>Antler measures overall length 80 cm/31.5 inch, rings measure 20 cm/7.9 inch. <br>Add much fun to your Christmas holiday party and school day, and enjoy a warm cheerful winter with this funny inflatable ring toss game. <br>Perfect for indoor or outdoor ring toss game, office, family, freinds and stocking stuffer; Amusing Christmas gifts for your friends or family.","<ul><li>Great gag or photo prop</li><li>Totally ridiculous but fun</li><li>Toss game provids hours of fun, especially for the adults<br></li></ul>",5.0,5.7,USD,7.99,0.0,PUBLISHED,ACTIVE,NOT_AVAILABLE,"STANDARD,EXPEDITED,RUSH","=""5L99GF35SOV4""","=""322213329""","=""568236363""","=""00680666477837""","=""680666477837""",https://i5.walmartimages.com/asr/5f40ed7b-e675-49e2-8ded-16644e1b4051_1.c5e22de9e19453c4275631ecf396e08c.jpeg,Santa Hats & Wear,"[""Home Page"",""Party & Occasions"",""Party Supplies"",""Christmas Party Supplies"",""Santa Hats & Wear""]",03/30/2018,12/31/2049,04/09/2018,05/27/2020,http://www.walmart.com/ip/Inflatable-Reindeer-Antler-Ring-Toss-Game-for-Christmas-Party/322213329,3,3.3
34478,"=""JE-4KTX-TK0Q""",28-inch Natural Feather Fletching Carbon Composite Target Arrows (1 Dozen),Sport & Recreation Other,"Posch Archery Natural Feather Fletching Carbon Composite Target Arrows with screw-in target point and nock are the perfect arrows for recreational and target practice archery. In contrast to fiberglass arrows, the carbon composite arrows fly true, making it more suitable for intermediate archers to shoot with. Each arrows shaft is cherry-picked for excellent straightness so the arrows can be consistant to the target making it easier for the archer to spot and correct the issue in the practice. The Natural Feather Fletching Carbon Composite Target Arrows are equipped with screw-in points to leave option for upgrade and hunting. These arrows are proven good intermediate arrows by both professionals and hunters.<br>","<p><b>Shaft Specifications:</b></p><p></p><ul><li>Shaft length: 28.5""<br></li><li>Spine: 600 (Actual deflection: 0.600"")<br></li><li>Straightness: +/- 0.001""<br></li><li>Made of carbon composite<br></li></ul><p></p><p><b>Arrow Specifications:</b></p><p></p><ul><li>Total length: 29.0""<br></li><li>Weight: 500 grains<br></li><li>Come with target point &amp; insert</li><li>Adjustable nock<br></li><li>Pack of 1 dozen<br></li></ul><p></p>",30.0,37.79,USD,37.79,0.0,PUBLISHED,ACTIVE,NOT_AVAILABLE,"STANDARD,EXPEDITED,RUSH,STORE_DELIVERY","=""59D1ESX4JCNC""","=""885998480""","=""572055760""","=""00714602405513""","=""714602405513""",https://i5.walmartimages.com/asr/2dba5de4-5548-4e27-8f78-6415446f5576_1.fd4b5bc99fc7e3ad6e1fd6ccf6b1de96.jpeg,Arrows,"[""Home Page"",""Sports & Outdoors"",""Outdoor Sports"",""Hunting"",""Archery"",""Arrows and Bows"",""Arrows""]",10/07/2018,12/31/2049,10/07/2018,05/27/2020,http://www.walmart.com/ip/28-inch-Natural-Feather-Fletching-Carbon-Composite-Target-Arrows-1-Dozen/885998480,0,
34478,"=""9H-C8GC-FGO8""",Posch Archery Beginner\'s First 30\'\' Fiberglass Pink Arrows (12 Pack) for Recuve & Compound Bow Youth Target Practice Archery Arrows,Sport & Recreation Other,"Posch Archery Beginner\'s First Arrows is designed for most commonly used bows like Samick Sage, Bowtech, Hoyt, Bear\'s and Mathews. They are nocked for takedown recurve bows, but also work well on compound bows. Beginner\'s First Arrows are made of fiberglass for target archery, field archery and 3-D archery. They are more tolerant to misuse, hence safer and more reliable than carbon arrows and wood arrows. That makes them perfect for the novice and youth.<br>",Posch Archery Beginner\'s First 30\'\' Fiberglass Pink Arrows (12 Pack) for Recuve & Compound Bow Youth Target Practice Archery Arrows,17.5,23.99,USD,21.99,0.0,PUBLISHED,ACTIVE,NOT_AVAILABLE,"STANDARD,EXPEDITED,RUSH","=""3N84QLZ5VIIF""","=""964157193""","=""567466037""","=""00714602405797""","=""714602405797""",https://i5.walmartimages.com/asr/4c082e30-56d6-439b-99b9-9597099b2cf9_1.c8224b42e6f4c2411c8a658761e234e9.jpeg,Arrows,"[""Home Page"",""Sports & Outdoors"",""Outdoor Sports"",""Hunting"",""Archery"",""Arrows and Bows"",""Arrows""]",02/21/2018,12/31/2049,06/09/2017,05/27/2020,http://www.walmart.com/ip/Posch-Archery-Beginner-s-First-30-Fiberglass-Pink-Arrows-12-Pack-for-Recuve-Compound-Bow-Youth-Target-Practice-Archery-Arrows/964157193,3,4.7
